ID_Cliente;N01_Zona;N02_País;N03_Tipodeproducto;N04_Canaldeventa;N05_Prioridad;N06_Fechapedido;ID_Pedido;N07_Fechaenvío;N08_Unidades;N09_PrecioUnitario;N10_Costeunitario;N11_Importeventatotal;N12_ImporteCostetotal
C2421;Europa;United Kingdom;Snacks;Offline;Crítica;12/10/2020;242113196;30/11/2020;5530;153;97;843767;538843
C1908;Europa;Malta;Cárnicos;Online;Alta;26/01/2020;190800607;28/01/2020;994;422;365;419359;362502
C7652;Australia y Oceanía;Marshall Islands;Cereales;Online;Crítica;09/11/2020;765228068;21/11/2020;6845;206;117;1408017;801618
C2326;África;Iran;Frutas;Offline;Baja;21/08/2021;232631909;02/10/2021;9806;9;7;91490;67858
C5305;Centroamérica y Caribe;Guatemala;Alimento infantil;Offline;Media;30/09/2022;530560958;12/11/2022;3633;255;159;927432;579173
C5168;Centroamérica y Caribe;Grenada;Bebida;Offline;Baja;21/01/2022;516876542;21/02/2022;4110;47;32;195020;130657
C9197;Australia y Oceanía;Fiji;Snacks;Offline;Media;17/02/2022;919752490;27/02/2022;4056;153;97;618864;395217
C2876;África;Tunisia ;Cosméticos;Offline;Media;21/03/2020;287675130;07/05/2020;8319;437;263;3637067;2190642
C8394;Centroamérica y Caribe;Grenada;Cuidado personal;Offline;Crítica;13/02/2021;839443290;01/04/2021;8779;82;57;717508;497506
C8141;Australia y Oceanía;Australia;Material de oficina;Online;Media;15/06/2021;814168298;12/07/2021;9347;651;525;6086860;4906801
C3212;Norteamérica;Greenland;Cosméticos;Online;Alta;15/07/2022;321273982;30/08/2022;966;437;263;422335;254377
C8904;África;Angola;Snacks;Online;Crítica;13/05/2020;890496671;05/06/2020;6609;153;97;1008401;643981
C5218;África;Zambia;Bebida;Offline;Crítica;06/05/2021;521885192;22/05/2021;6281;47;32;298033;199673
C4358;África;Kenya;Verduras;Offline;Alta;07/11/2020;435800874;25/12/2020;2018;154;91;310893;183497
C1229;África;Azerbaijan;Frutas;Offline;Crítica;20/10/2021;122917544;17/11/2021;2888;9;7;26945;19985
C4942;África;Mozambique;Cuidado personal;Offline;Crítica;21/10/2021;494221532;18/11/2021;9989;82;57;816401;566077
C7310;Australia y Oceanía;Federated States of Micronesia;Cosméticos;Offline;Crítica;19/04/2020;731011664;30/04/2020;1451;437;263;634377;382092
C5348;Centroamérica y Caribe;Dominican Republic;Snacks;Offline;Crítica;03/11/2022;534899270;04/11/2022;7436;153;97;1134585;724564
C5778;África;Libya;Material de oficina;Online;Alta;10/07/2022;577808177;22/07/2022;5135;651;525;3343963;2695670
C2519;Asia;Uzbekistan;Material de oficina;Online;Baja;01/06/2021;251974713;21/06/2021;3772;651;525;2456364;1980149
